"originregion_id","originregion_name","destinationregion_id","destinationregion_name","regionflow_1990","regionflow_1995","regionflow_2000","regionflow_2005","xxx","origin_iso","origin_name","destination_iso","destination_name","countryflow_1990","countryflow_1995","countryflow_2000","countryflow_2005","origin_show","destination_show"
2,"Center",2,"Center",20109,20109,20109,20109,"","ZAR","Zarqa","BAL","Balqa",18,18,18,18,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","ZAR","Zarqa","AMM","Amman",128,128,128,128,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","AMM","Amman","MAD","Madaba",43,43,43,43,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","BAL","Balqa","BAL","Balqa",1128,1128,1128,1128,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","AMM","Amman","BAL","Balqa",377,377,377,377,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","MAD","Madaba","ZAR","Zarqa",4,4,4,4,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","AMM","Amman","AMM","Amman",13129,13129,13129,13129,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","MAD","Madaba","MAD","Madaba",537,537,537,537,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","BAL","Balqa","ZAR","Zarqa",32,32,32,32,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","MAD","Madaba","AMM","Amman",124,124,124,124,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","MAD","Madaba","BAL","Balqa",43,43,43,43,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","ZAR","Zarqa","ZAR","Zarqa",4018,4018,4018,4018,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","BAL","Balqa","MAD","Madaba",14,14,14,14,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","BAL","Balqa","AMM","Amman",275,275,275,275,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","ZAR","Zarqa","MAD","Madaba",2,2,2,2,"1","1"
2,"Center",2,"Center",20109,20109,20109,20109,"","AMM","Amman","ZAR","Zarqa",237,237,237,237,"1","1"
2,"Center",1,"North",720,720,720,720,"","ZAR","Zarqa","IRB","Irbid",44,44,44,44,"1","1"
2,"Center",1,"North",720,720,720,720,"","MAD","Madaba","JAR","Jarash",,,,,"1","1"
2,"Center",1,"North",720,720,720,720,"","AMM","Amman","JAR","Jarash",37,37,37,37,"1","1"
2,"Center",1,"North",720,720,720,720,"","ZAR","Zarqa","JAR","Jarash",12,12,12,12,"1","1"
2,"Center",1,"North",720,720,720,720,"","MAD","Madaba","AJL","Ajlun",,,,,"1","1"
2,"Center",1,"North",720,720,720,720,"","AMM","Amman","IRB","Irbid",95,95,95,95,"1","1"
2,"Center",1,"North",720,720,720,720,"","AMM","Amman","MAF","Mafraq",165,165,165,165,"1","1"
2,"Center",1,"North",720,720,720,720,"","ZAR","Zarqa","AJL","Ajlun",2,2,2,2,"1","1"
2,"Center",1,"North",720,720,720,720,"","BAL","Balqa","IRB","Irbid",72,72,72,72,"1","1"
2,"Center",1,"North",720,720,720,720,"","BAL","Balqa","JAR","Jarash",8,8,8,8,"1","1"
2,"Center",1,"North",720,720,720,720,"","MAD","Madaba","MAF","Mafraq",13,13,13,13,"1","1"
2,"Center",1,"North",720,720,720,720,"","BAL","Balqa","MAF","Mafraq",81,81,81,81,"1","1"
2,"Center",1,"North",720,720,720,720,"","ZAR","Zarqa","MAF","Mafraq",150,150,150,150,"1","1"
2,"Center",1,"North",720,720,720,720,"","BAL","Balqa","AJL","Ajlun",18,18,18,18,"1","1"
2,"Center",1,"North",720,720,720,720,"","AMM","Amman","AJL","Ajlun",14,14,14,14,"1","1"
2,"Center",1,"North",720,720,720,720,"","MAD","Madaba","IRB","Irbid",9,9,9,9,"1","1"
2,"Center",3,"South",123,123,123,123,"","ZAR","Zarqa","MAA","Maan",1,1,1,1,"1","1"
2,"Center",2,"South",123,123,123,123,"","AMM","Amman","KAR","Karak",49,49,49,49,"1","1"
2,"Center",2,"South",123,123,123,123,"","ZAR","Zarqa","KAR","Karak",18,18,18,18,"1","1"
2,"Center",2,"South",123,123,123,123,"","BAL","Balqa","KAR","Karak",15,15,15,15,"1","1"
2,"Center",3,"South",123,123,123,123,"","MAD","Madaba","AQA","Aqaba",,,,,"1","1"
2,"Center",3,"South",123,123,123,123,"","BAL","Balqa","AQA","Aqaba",1,1,1,1,"1","1"
2,"Center",3,"South",123,123,123,123,"","AMM","Amman","AQA","Aqaba",5,5,5,5,"1","1"
2,"Center",3,"South",123,123,123,123,"","ZAR","Zarqa","AQA","Aqaba",1,1,1,1,"1","1"
2,"Center",3,"South",123,123,123,123,"","MAD","Madaba","TAF","Tafileh",3,3,3,3,"1","1"
2,"Center",3,"South",123,123,123,123,"","AMM","Amman","MAA","Maan",3,3,3,3,"1","1"
2,"Center",3,"South",123,123,123,123,"","BAL","Balqa","MAA","Maan",9,9,9,9,"1","1"
2,"Center",3,"South",123,123,123,123,"","MAD","Madaba","MAA","Maan",,,,,"1","1"
2,"Center",3,"South",123,123,123,123,"","BAL","Balqa","TAF","Tafileh",3,3,3,3,"1","1"
2,"Center",2,"South",123,123,123,123,"","MAD","Madaba","KAR","Karak",9,9,9,9,"1","1"
2,"Center",3,"South",123,123,123,123,"","AMM","Amman","TAF","Tafileh",3,3,3,3,"1","1"
2,"Center",3,"South",123,123,123,123,"","ZAR","Zarqa","TAF","Tafileh",3,3,3,3,"1","1"
1,"North",2,"Center",638,638,638,638,"","IRB","Irbid","ZAR","Zarqa",55,55,55,55,"1","1"
1,"North",2,"Center",638,638,638,638,"","AJL","Ajlun","ZAR","Zarqa",5,5,5,5,"1","1"
1,"North",2,"Center",638,638,638,638,"","AJL","Ajlun","BAL","Balqa",8,8,8,8,"1","1"
1,"North",2,"Center",638,638,638,638,"","IRB","Irbid","BAL","Balqa",54,54,54,54,"1","1"
1,"North",2,"Center",638,638,638,638,"","AJL","Ajlun","AMM","Amman",12,12,12,12,"1","1"
